ticker,name,sector,category,ltp,closing_price,ycp,open_price,day_high,day_low,week52_high,week52_low,pe_ratio,eps,nav,dividend_yield,market_cap_mn,volume,trades,total_shares,paid_up_capital_mn,authorized_capital_mn,change_pct,beta,return_1d,return_15d,return_1m,return_6m,return_1y,listing_year,latest_dividend,status,updated_at,face_value,mean_1y,mean_3y,mean_5y,median_1y,median_3y,median_5y,percentile_5y,z_score_5y,price_vs_median_5y,actual_return_1y,actual_return_3y,actual_return_5y,volatility_annual,max_drawdown_5y
LOVELLO,Taufika Foods and Lovello Ice-cream PLC,Food and Allied,A,69.5,69.5,69.6,70.5,70.5,69.2,108.8,61.3,42.18,1.65,12.01,1.12,6823.1625,1287158,2807,98175000,981.75,1000.0,-0.14,1.26,-7.21,-1.97,-17.95,0.43,-27.35,2021,11% 2025,Active,2026-07-30T09:27:36.187564,10.0,79.02,71.42,56.63,73.7,77.64,41.36,59.6,0.54,1.68,-26.61,101.72,115.96,43.53,-42.47
LRBDL,Lub-rref (Bangladesh) Limited,Fuel and Power,Z,15.5,15.5,15.6,15.6,15.7,15.2,16.5,8.5,0.0,-4.56,32.72,0.0,2251.268732,535373,424,145243144,1452.43,2500.0,-0.64,1.49,4.03,18.32,56.57,77.27,8.33,2021,1% 2024,Active,2026-07-30T09:27:36.187564,10.0,11.68,18.25,26.76,10.7,14.7,31.1,34.4,-0.9,0.498,8.39,-55.84,-69.84,44.61,-84.29
LRGLOBMF1,LR Global Bangladesh Mutual Fund One,Mutual Funds,A,4.6,4.6,4.5,4.5,4.7,4.5,5.0,2.3,15.52,0.29,10.47,4.69,1430.9695272,984634,127,311080332,3110.8,0.0,2.22,1.22,21.05,31.43,43.75,55.17,15.38,2011,3% 2023,Active,2026-07-30T09:27:36.187564,10.0,3.28,4.07,5.19,3.3,3.7,5.2,46.6,-0.33,0.885,21.05,-28.13,-48.89,51.88,-75.53
MAGURAPLEX,Magura Multiplex PLC.,Paper and Printing,A,92.7,92.7,91.9,91.5,93.0,91.5,118.0,72.9,25.53,3.6,74.79,1.34,2744.2331406,85649,392,29603378,296.03,600.0,0.87,1.26,-2.83,3.23,13.6,11.94,5.39,1990,11% 2025,Active,2026-07-30T09:27:36.187564,10.0,89.8,121.6,148.49,87.2,103.8,147.4,22.9,-1.05,0.629,4.98,-59.29,-14.85,36.28,-75.65
MAKSONSPIN,Maksons Spinning Mills PLC.,Textile,Z,6.4,6.4,6.5,6.6,6.6,6.3,7.7,3.8,0.0,-3.69,12.29,0.0,1524.6882432,635422,185,238232538,2382.33,5000.0,-1.54,1.5,10.34,8.47,14.29,35.42,0.0,2009,10% 2022,Active,2026-07-30T09:27:36.187564,10.0,5.82,9.56,15.73,5.8,7.0,14.2,23.2,-1.09,0.451,-3.03,-71.3,-69.67,51.84,-88.76
MALEKSPIN,Malek Spinning Mills PLC.,Textile,A,44.2,44.2,43.6,43.6,44.8,42.8,46.9,23.5,5.88,7.41,60.63,4.33,8557.12,2660663,1820,193600000,1936.0,3000.0,1.38,1.36,-1.12,20.44,67.42,55.16,75.1,2010,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,30.41,29.25,29.62,29.0,27.8,28.0,99.2,3.34,1.579,70.66,63.1,39.87,38.18,-49.07
MAMUNAGRO,Mamun Agro Products Limited,SME Sector,Y,20.3,20.3,20.6,21.3,21.3,20.2,29.1,11.5,0.0,1.2,16.33,3.53,1065.75,122498,102,52500000,525.0,1000.0,-1.46,0.64,-15.06,1.0,7.41,10.16,-25.36,2022,10% 2024,Active,2026-07-30T09:27:36.187564,10.0,21.26,25.62,23.92,20.3,27.1,24.55,32.1,-0.56,0.827,-28.77,35.33,84.55,54.2,-68.22
MARICO,Marico Bangladesh Limited,Pharmaceuticals and Chemicals,A,2726.0,2721.5,2749.7,2749.0,2754.4,2720.0,,,13.34,206.09,92.02,7.6,85869.0,14628,1523,31500000,315.0,400.0,-1.03,0.38,-0.46,-1.79,-1.7,-1.11,-0.91,2009,2075% 2026,Active,2026-07-30T09:27:36.187564,10.0,2779.68,2522.85,2469.16,2762.7,2490.75,2421.5,82.0,1.41,1.126,-3.79,12.39,14.46,11.35,-24.11
MASTERAGRO,Master feed Agrotec Ltd.,SME Sector,Y,10.0,9.8,9.9,10.0,10.0,9.6,12.8,3.4,0.0,0.23,15.1,1.95,671.505,34511,32,67150500,671.51,1000.0,-1.01,0.57,-3.92,-8.41,22.5,47.76,65.0,2021,1.25% 2025,Active,2026-07-30T09:27:36.187564,10.0,6.8,9.18,11.45,6.5,8.25,11.6,40.3,-0.28,0.862,60.66,-31.94,-18.33,59.73,-89.3
MATINSPINN,Matin Spinning Mills PLC,Textile,A,61.8,61.8,60.4,59.9,62.0,59.8,62.9,43.8,12.85,4.7,69.89,7.73,6024.882,763673,1568,97490000,974.9,1500.0,2.32,0.67,6.55,10.95,34.35,28.24,28.51,2014,35% 2025,Active,2026-07-30T09:27:36.187564,10.0,50.09,50.11,58.32,48.45,46.9,55.1,62.4,0.27,1.122,24.85,-20.36,10.16,23.58,-54.59
MBL1STMF,MBL 1st Mutual Fund,Mutual Funds,A,7.7,7.7,7.3,7.4,7.9,7.4,7.5,3.0,17.38,0.42,10.47,6.44,770.0,3437892,526,100000000,1000.0,0.0,5.48,0.72,63.83,87.8,97.44,108.57,46.0,2011,4.25% 2023,Active,2026-07-30T09:27:36.187564,10.0,4.07,4.62,5.72,3.9,4.3,5.8,81.0,1.24,1.328,54.0,16.67,-12.5,51.2,-63.64
MBPLCPBOND,Mercantile Bank Perpetual Bond,Corporate Bond,A,0.0,0.0,4850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100000,500.0,0.0,0.0,0.0,0.0,0.0,0.0,138471.43,96900.0,2023,-,,2026-07-30T09:27:36.187564,5000.0,4850.0,4850.0,4850.0,4850.0,4850.0,4850.0,0.0,,1.0,,,,,
MEGCONMILK,Meghna Condensed Milk Industries Ltd.,Food and Allied,Z,35.9,35.9,36.0,36.7,37.5,33.0,51.0,11.5,0.0,-10.05,-16.15,0.0,574.4,170182,335,16000000,160.0,800.0,-0.28,0.76,-0.28,-12.65,3.76,48.76,103.39,2001,-,Operation Shutdown,2026-07-30T09:27:36.187564,10.0,25.1,25.72,26.06,20.25,26.3,26.4,87.4,1.28,1.36,105.14,22.11,144.22,66.38,-73.17
MEGHNACEM,Meghna Cement Mills PLC.,Cement,Z,32.0,32.3,31.7,31.2,32.9,31.2,58.0,26.1,0.0,-36.58,-1.7,0.0,1010.832928,11742,45,31588529,315.88,5000.0,1.89,0.73,-2.12,0.62,6.25,-1.55,-26.28,1995,5% 2023,Active,2026-07-30T09:27:36.187564,10.0,35.65,51.8,57.49,32.55,47.3,62.22,7.6,-1.66,0.514,-25.58,-49.3,-56.78,47.32,-70.46
MEGHNAINS,Meghna Insurance PLC.,Insurance,A,39.3,39.3,39.9,40.6,40.6,38.9,45.6,21.7,29.56,1.35,14.29,3.57,1572.0,1632608,1708,40000000,400.0,1000.0,-1.5,1.24,-5.76,16.27,33.67,30.39,48.33,2022,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,29.31,30.32,33.15,28.6,28.6,30.1,74.0,0.74,1.306,46.1,-20.61,257.27,43.24,-68.41
MEGHNALIFE,Meghna Life Insurance PLC,Life Insurance,A,60.8,60.8,61.6,61.6,61.6,60.5,73.5,42.0,38.26,1.61,22.9,2.71,2578.2372544,77249,217,42405218,424.05,600.0,-1.3,1.23,-7.6,0.0,7.99,11.39,13.86,2005,15% 2024,Active,2026-07-30T09:27:36.187564,10.0,56.12,63.08,66.92,55.6,59.6,65.0,34.2,-0.47,0.935,10.95,-26.92,-5.51,33.95,-67.53
MEGHNAPET,Meghna Pet Industries Ltd.,Food and Allied,Z,85.2,85.2,86.3,87.2,90.9,81.8,101.9,17.3,0.0,-2.75,70.43,0.0,1022.4,173143,561,12000000,120.0,300.0,-1.27,1.06,1.31,5.71,102.38,218.45,246.59,2001,-,Operation Shutdown,2026-07-30T09:27:36.187564,10.0,37.34,32.84,31.92,25.85,27.9,29.1,98.4,4.27,2.928,234.12,154.33,456.86,66.15,-64.43
MERCANBANK,Mercantile Bank PLC.,Bank,Z,7.5,7.5,7.5,7.5,7.6,7.5,10.9,6.1,6.82,1.1,24.35,0.0,8299.3157625,294488,108,1106575435,11065.75,20000.0,0.0,1.3,-1.32,1.35,-14.77,-3.85,-17.58,2004,10% 2023,Active,2026-07-30T09:27:36.187564,10.0,8.2,10.08,11.95,8.1,9.9,13.3,3.9,-1.56,0.564,-21.87,-43.61,-48.53,35.36,-64.82
MERCINS,Mercantile Islami Insurance PLC,Insurance,A,44.9,44.9,44.1,44.8,45.5,44.1,46.4,22.4,26.73,1.65,21.7,4.22,1934.981664,865933,672,43095360,430.95,1000.0,1.81,0.83,-1.75,0.67,76.77,68.32,62.13,2004,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,27.96,28.98,32.94,25.3,26.6,32.05,87.3,1.44,1.401,63.27,13.38,-19.96,36.85,-64.84
METROSPIN,Metro Spinning Ltd.,Textile,Z,9.7,9.6,9.6,9.6,9.8,9.5,12.7,7.0,0.0,-1.98,3.96,0.0,598.4732675,63324,67,61698275,616.98,1000.0,0.0,1.5,3.23,1.05,7.87,21.52,-14.29,2002,3% 2022,Operation Shutdown,2026-07-30T09:27:36.187564,10.0,9.33,15.13,21.9,9.2,11.8,20.19,16.4,-1.04,0.48,-14.29,-76.64,-52.0,52.1,-85.88
MHSML,Mozaffar Hossain Spinning Mills Ltd.,Textile,B,23.2,23.2,23.2,23.5,23.5,23.0,25.8,12.0,32.22,0.72,20.41,2.19,2343.0462767999998,797527,562,100993374,1009.93,3000.0,0.0,1.22,0.43,-0.43,17.17,38.1,48.72,2014,3% 2025,Active,2026-07-30T09:27:36.187564,10.0,17.79,17.14,21.39,17.5,16.1,20.55,58.9,0.28,1.129,45.0,-12.45,22.11,40.05,-69.87
MIDASFIN,MIDAS Financing PLC.,Financial Institutions,Z,6.0,6.0,6.1,6.0,6.1,5.9,8.0,3.7,0.0,-2.24,4.73,0.0,863.355042,61583,35,143892507,1438.93,2000.0,-1.64,1.92,3.45,-3.23,11.11,7.02,-18.67,2002,1.50% 2022,Active,2026-07-30T09:27:36.187564,10.0,5.77,8.06,10.59,5.9,8.0,10.0,11.4,-1.12,0.6,-21.05,-44.44,-70.29,58.55,-84.59
MIDLANDBNK,Midland Bank PLC.,Bank,B,18.6,18.6,18.6,18.6,18.7,18.4,24.0,14.5,14.88,1.25,15.9,1.76,12622.436904000002,1926575,643,678625640,6786.26,10000.0,0.0,1.51,-0.53,12.05,18.47,8.77,-21.85,2023,3% 2025,Active,2026-07-30T09:27:36.187564,10.0,17.68,19.03,18.4,17.5,17.3,16.6,62.9,0.03,1.12,-14.29,33.97,87.82,42.38,-58.59
MIRACLEIND,Miracle Industries Ltd.,Miscellaneous,Z,29.4,29.4,29.5,29.8,30.0,29.0,40.9,25.0,0.0,-2.3,11.32,0.0,1035.410817,190939,289,35218055,352.18,500.0,-0.34,1.47,1.73,0.68,12.64,-3.59,7.66,2000,1% 2020,Active,2026-07-30T09:27:36.187564,10.0,30.07,32.1,31.64,29.65,30.5,30.4,39.4,-0.36,0.967,5.76,-11.45,-16.95,45.73,-71.43
MIRAKHTER,Mir Akhter Hossain Limited,Engineering,A,42.2,42.2,41.6,41.6,42.5,41.4,48.7,23.9,24.19,1.72,51.51,3.99,5096.559283400001,589318,658,120771547,1207.72,2000.0,1.44,1.19,2.93,1.93,10.18,47.52,52.94,2021,10.50% 2025,Active,2026-07-30T09:27:36.187564,10.0,32.52,37.22,46.51,29.7,35.55,50.45,41.5,-0.28,0.836,53.45,-18.38,-54.18,44.04,-76.19
MITHUNKNIT,Mithun Knitting and Dyeing Ltd.,Textile,Z,14.5,14.5,14.4,14.4,14.7,14.4,21.9,11.0,0.0,0.0,3.18,0.0,471.121849,35337,63,32491162,324.91,800.0,0.69,1.08,0.0,-5.23,-6.45,9.09,-2.04,1994,-,Operation Shutdown,2026-07-30T09:27:36.187564,10.0,15.32,16.76,16.61,15.1,15.6,15.6,21.6,-0.63,0.929,-4.61,-7.05,5.84,51.25,-68.5
MJLBD,MJL Bangladesh PLC.,Fuel and Power,A,93.5,93.5,93.8,93.8,94.1,92.9,105.8,86.0,8.26,11.36,54.06,5.54,29616.3145245,65022,452,316752027,3167.52,10000.0,-0.32,0.66,-3.41,-1.06,5.41,1.52,-0.74,2011,52% 2025,Active,2026-07-30T09:27:36.187564,10.0,92.52,89.91,89.82,92.1,89.55,88.8,74.4,0.68,1.053,-1.37,7.84,6.61,18.71,-40.04
MKFOOTWEAR,MK Footwear PLC,SME Sector,Y,110.6,110.6,109.9,111.8,111.8,107.3,150.0,50.1,0.0,1.83,14.88,2.21,5291.90032,117333,61,47847200,478.47,1000.0,0.64,0.38,-3.91,-10.45,-10.95,83.17,86.9,2023,12% 2025,Active,2026-07-30T09:27:36.187564,10.0,84.16,58.77,58.77,62.5,50.8,50.8,88.8,1.94,2.177,87.78,188.77,188.77,36.95,-36.42
MLDYEING,M.L. Dyeing Limited,Textile,B,17.8,17.8,16.9,17.1,18.3,16.9,19.2,6.7,845.0,0.02,13.3,0.52,4137.326802,7255238,3049,232434090,2324.34,3100.0,5.33,1.32,39.06,57.52,117.07,108.64,74.23,2018,0.50% 2025,Active,2026-07-30T09:27:36.187564,10.0,9.4,11.47,16.93,8.8,9.7,14.2,54.3,0.11,1.254,74.51,-28.23,-44.38,46.46,-80.06
MONNOAGML,Monno Agro & General Machinery Limited,Engineering,B,351.9,349.5,346.4,347.8,351.9,344.0,424.9,266.2,346.4,1.0,110.86,0.16,1548.4500864,13189,378,4400256,44.0,1000.0,0.89,1.27,-3.98,-0.79,5.43,7.51,-1.9300000000000002,1982,5% 2025,Active,2026-07-30T09:27:36.187564,10.0,349.82,391.13,458.54,350.55,355.6,409.74,27.1,-0.71,0.859,-3.21,-53.19,-29.1,40.69,-70.71
MONNOCERA,Monno Ceramic Industries Ltd.,Ceramics Sector,B,93.6,93.6,93.8,94.0,94.4,93.0,112.0,67.3,426.36,0.22,80.14,0.24,3530.9960711999997,172281,736,37724317,377.24,1000.0,-0.21,1.22,-4.2,-2.8,15.56,20.1,8.31,1983,2% 2025,Active,2026-07-30T09:27:36.187564,10.0,86.46,85.47,96.53,84.4,83.9,97.9,44.1,-0.16,0.956,7.59,-7.96,-20.81,40.37,-65.94
MONNOFABR,Monno Fabrics Limited,Textile,B,23.0,23.0,23.1,23.2,23.2,22.9,27.3,13.9,577.5,0.04,25.39,0.19,2645.0,1471919,854,115000000,1150.0,5000.0,-0.43,1.46,1.77,1.77,4.55,19.69,63.83,1996,0.25% 2025,Active,2026-07-30T09:27:36.187564,10.0,20.69,19.52,21.31,21.4,19.7,22.4,57.0,0.43,1.027,59.72,-4.56,-3.77,49.8,-62.88
MONOSPOOL,Monospool Bangladesh PLC,Paper and Printing,A,119.5,119.5,119.3,119.0,120.4,118.2,305.6,84.5,31.73,3.76,45.05,0.61,4686.893487,212856,1075,39220866,392.21,500.0,0.17,1.08,-1.08,4.28,20.95,27.73,20.02,1989,5% 2025,Active,2026-07-30T09:27:36.187564,10.0,104.52,143.76,166.63,102.1,117.4,149.34,32.2,-0.73,0.8,17.27,-50.3,-10.8,49.88,-79.44
MOSTFAMETL,Mostafa Metal Industries Limited,SME Sector,Y,9.9,9.9,10.0,10.0,10.0,9.8,13.9,4.6,0.0,0.45,14.32,1.98,483.6645,63114,24,48855000,488.55,1000.0,-1.0,0.82,-3.88,-10.81,-9.17,3.09,1.01,2021,2% 2025,Active,2026-07-30T09:27:36.187564,10.0,9.34,12.45,14.39,9.75,11.8,13.2,17.4,-0.79,0.75,1.02,-46.77,-17.5,56.28,-86.93
MPETROLEUM,Meghna Petroleum PLC.,Fuel and Power,A,214.6,214.6,213.3,213.6,215.1,213.6,219.0,187.3,3.47,61.39,278.51,9.76,23223.1767768,29515,137,108216108,1082.16,4000.0,0.61,0.31,-0.74,-1.15,6.61,7.24,2.16,2007,200% 2025,Active,2026-07-30T09:27:36.187564,10.0,205.74,204.23,202.25,207.4,203.1,201.0,94.6,2.11,1.068,1.13,6.71,13.25,12.37,-15.27
MTB,Mutual Trust Bank PLC,Bank,A,13.4,13.4,13.6,13.6,13.6,13.2,14.7,10.9,4.33,3.14,28.11,0.0,16230.1272484,788136,258,1211203526,12112.03,20000.0,-1.47,1.1,-3.6,-1.47,4.69,0.74,-0.73,2003,10% 2023,Active,2026-07-30T09:27:36.187564,10.0,12.83,12.44,14.01,12.8,12.4,14.09,41.0,-0.26,0.951,-2.9,-4.9,-29.81,27.15,-49.32
NAHEEACP,Nahee Aluminum Composite Panel PLC.,Engineering,B,36.5,36.5,36.8,36.5,37.1,36.2,42.0,13.9,0.0,0.0,11.91,0.0,2495.14584,700479,826,68360160,683.6,1200.0,-0.82,1.76,-3.95,1.39,58.01,123.03,76.92,2017,1% 2025,Active,2026-07-30T09:27:36.187564,10.0,23.71,28.89,41.55,21.4,22.8,38.0,46.9,-0.26,0.961,70.56,-44.1,-23.32,55.31,-83.69
NATLIFEINS,National Life Insurance PLC,Life Insurance,A,103.4,103.4,103.4,103.1,103.9,102.7,134.0,83.6,27.95,3.7,59.87,3.96,11221.1728354,20323,114,108521981,1085.22,2000.0,0.0,1.01,-5.83,-0.29,1.67,-1.43,3.5,1995,37% 2025,Active,2026-07-30T09:27:36.187564,10.0,101.56,110.44,143.38,102.1,103.4,122.3,31.0,-0.83,0.845,2.27,-42.23,-56.33,31.58,-67.39
NAVANACNG,Navana CNG Limited,Engineering,Z,22.9,22.9,22.9,22.9,23.2,22.7,28.2,18.9,229.0,0.1,30.79,0.51,1730.1584788,34097,65,75552772,755.53,1500.0,0.0,0.94,0.44,4.09,11.17,12.81,4.09,2009,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,21.54,22.87,25.28,21.4,22.3,24.1,37.3,-0.51,0.95,4.09,-9.84,-41.28,28.61,-57.14
NAVANAPHAR,Navana Pharmaceuticals PLC,Pharmaceuticals and Chemicals,A,71.4,71.4,71.0,71.2,71.9,70.7,78.0,45.5,15.64,4.54,45.29,2.19,7669.5178938,334212,812,107416217,1074.16,2000.0,0.56,1.52,-2.99,-0.97,23.74,23.26,30.04,2022,14% 2025,Active,2026-07-30T09:27:36.187564,10.0,59.06,67.9,71.54,57.75,59.5,69.2,52.8,-0.01,1.032,29.11,-31.87,170.45,33.21,-68.14
NBL,National Bank PLC.,Bank,Z,3.9,3.9,3.8,3.9,3.9,3.8,6.6,2.1,0.0,-5.3,1.15,0.0,12556.984323,786674,312,3219739570,32197.4,50000.0,2.63,1.44,5.41,0.0,-7.14,15.15,2.7,1984,5% 2019,Active,2026-07-30T09:27:36.187564,10.0,3.78,5.3,6.38,3.8,4.9,7.3,18.4,-1.28,0.534,5.41,-53.01,-50.63,56.42,-75.82
NCCBANK,National Credit and Commerce Bank PLC.,Bank,A,15.4,15.4,15.4,15.4,15.6,15.3,17.7,10.5,3.59,4.29,27.2,13.93,17784.5362772,3871354,742,1154840018,11548.4,20000.0,0.0,0.97,-1.28,-3.75,-8.88,20.31,30.51,2000,17% 2025,Active,2026-07-30T09:27:36.187564,10.0,13.23,12.11,13.08,12.7,11.9,13.1,85.1,1.3,1.176,27.27,17.56,0.65,34.66,-44.57
NCCBLMF1,NCCBL Mutual Fund-1,Mutual Funds,A,7.3,7.3,7.0,7.0,7.4,7.0,7.9,3.1,11.48,0.61,10.97,5.49,792.0748272999999,699131,197,108503401,1085.03,0.0,4.29,1.1,30.36,65.91,73.81,79.49,27.27,2012,4.50% 2023,Active,2026-07-30T09:27:36.187564,10.0,4.5,5.4,6.23,4.3,5.2,6.8,83.3,0.75,1.074,32.73,7.35,-17.05,52.12,-63.74
NEWLINE,New Line Clothings Limited,Textile,Z,6.8,6.8,6.6,6.7,6.9,6.4,7.5,2.7,4.05,1.63,24.02,3.95,534.02202,909871,277,78532650,785.33,1000.0,3.03,1.43,28.3,21.43,28.3,78.38,-7.04,2019,12.25% 2021. 5% 2020,Closed,2026-07-30T09:27:36.187564,10.0,5.11,19.08,28.98,5.2,7.5,38.4,23.4,-1.24,0.177,-5.56,-84.92,-77.33,62.69,-94.38
NFML,National Feed Mill Limited,Miscellaneous,B,20.7,20.7,20.7,20.7,20.9,20.5,24.2,9.0,690.0,0.03,11.09,0.1,1932.5794068,1372090,975,93361324,933.61,2000.0,0.0,1.05,-2.36,-10.78,48.92,38.93,95.28,2015,0.10% 2025,Active,2026-07-30T09:27:36.187564,10.0,14.51,13.25,15.58,14.2,13.5,15.5,91.2,1.04,1.335,91.67,21.05,-41.53,50.49,-78.53
NHFIL,National Housing Finance PLC,Financial Institutions,A,30.4,30.4,30.8,31.0,31.0,30.1,33.8,21.0,1026.67,0.03,17.95,0.0,3913.523328,767782,663,128734320,1287.34,2000.0,-1.3,1.39,-4.7,2.36,33.33,26.23,20.31,2009,10% 2023,Active,2026-07-30T09:27:36.187564,10.0,24.98,28.66,37.31,24.2,26.2,38.7,41.1,-0.54,0.786,18.75,-27.27,-32.29,36.76,-77.57
