ticker,name,sector,category,ltp,closing_price,ycp,open_price,day_high,day_low,week52_high,week52_low,pe_ratio,eps,nav,dividend_yield,market_cap_mn,volume,trades,total_shares,paid_up_capital_mn,authorized_capital_mn,change_pct,beta,return_1d,return_15d,return_1m,return_6m,return_1y,listing_year,latest_dividend,status,updated_at,face_value,mean_1y,mean_3y,mean_5y,median_1y,median_3y,median_5y,percentile_5y,z_score_5y,price_vs_median_5y,actual_return_1y,actual_return_3y,actual_return_5y,volatility_annual,max_drawdown_5y
NIALCO,Nialco Alloys Ltd.,SME Sector,Y,30.4,30.4,30.5,32.0,32.1,30.3,39.8,16.2,0.0,2.42,17.25,4.2,866.4,18352,160,28500000,285.0,800.0,-0.33,0.92,-5.3,-11.37,14.72,22.0,50.25,2022,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,24.47,32.89,37.6,24.5,26.9,38.75,39.5,-0.48,0.785,49.75,-41.98,111.11,52.96,-79.24
NITOLINS,Nitol Insurance PLC.,Insurance,A,37.2,37.2,37.3,35.0,38.0,35.0,39.9,22.8,19.33,1.93,31.3,3.64,1570.5103440000003,406919,246,42218020,422.18,500.0,-0.27,0.84,-2.87,8.45,21.57,24.75,35.64,2005,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,29.24,29.84,35.91,28.0,28.8,35.05,61.0,0.13,1.061,32.38,0.67,-31.23,34.87,-69.74
NORTHERN,Northern Jute Manufacturing Co. Ltd.,Jute,Z,118.0,115.7,117.0,117.0,118.8,114.5,141.2,75.1,10.33,11.33,81.66,0.15,252.756,3966,93,2142000,21.42,100.0,-1.11,1.07,-10.52,2.94,8.43,32.2,13.92,1994,5% 2020,Closed,2026-07-30T09:27:36.187564,10.0,104.37,128.88,177.85,109.1,117.4,181.4,30.4,-0.85,0.65,8.54,-44.27,-61.19,50.31,-80.2
NORTHRNINS,Northern Islami Insurance PLC.,Insurance,A,38.5,38.5,39.6,39.0,39.8,38.2,45.3,24.2,21.88,1.81,24.8,3.34,1724.514792,296431,432,44792592,447.93,1000.0,-2.78,0.92,-8.55,-3.27,25.41,22.6,29.41,2008,10% 2024,Active,2026-07-30T09:27:36.187564,10.0,32.04,35.6,40.04,30.75,32.6,41.2,39.8,-0.17,0.934,23.79,-18.6,-37.3,40.06,-61.92
NPOLYMER,National Polymer Industries PLC.,Engineering,B,35.8,35.8,36.1,36.1,36.4,35.6,38.9,23.5,515.71,0.07,29.65,1.8,2612.8153144,417499,552,72983668,729.84,3000.0,-0.83,1.26,1.7,7.51,27.4,31.27,20.33,1993,5% 2025,Active,2026-07-30T09:27:36.187564,10.0,29.76,36.49,43.74,28.8,32.95,50.4,36.0,-0.68,0.71,19.33,-29.8,-38.49,36.75,-66.57
NRBBANK,NRB Bank PLC.,Bank,Z,6.9,6.9,6.5,6.6,6.9,6.5,11.6,4.9,59.09,0.11,12.66,0.0,4765.05168,824227,194,690587200,6905.87,10000.0,6.15,1.63,15.0,13.11,7.81,-2.99,-41.96,2024,10.00%,Active,2026-07-30T09:27:36.187564,10.0,6.93,9.78,9.78,6.8,10.0,10.0,22.8,-1.05,0.69,-33.65,-37.27,-37.27,44.5,-66.67
NRBCBANK,NRBC Bank PLC.,Bank,Z,8.6,8.6,8.1,8.4,8.6,8.2,8.4,4.9,50.63,0.16,16.74,0.0,7126.3859924,561851,183,828649534,8286.5,10000.0,6.17,1.21,17.81,17.81,24.64,47.27,14.08,2021,11.00% 2023,Active,2026-07-30T09:27:36.187564,10.0,6.5,9.43,14.52,6.6,8.4,13.4,31.9,-0.78,0.642,22.86,-48.81,-69.93,34.37,-87.47
NTC,National Tea Company Ltd.,Food and Allied,Z,173.6,171.5,173.1,173.1,175.0,171.0,222.0,141.0,0.0,-107.49,-155.69,0.0,5164.6,1861,85,29750000,297.5,400.0,-0.92,1.04,-7.4,8.13,6.99,8.19,3.7800000000000002,1979,7.50% 2022,Active,2026-07-30T09:27:36.187564,10.0,167.38,265.92,407.53,163.3,190.7,413.5,20.7,-1.14,0.42,2.27,-56.26,-66.33,36.36,-84.66
NTLTUBES,National Tubes Limited,Engineering,B,69.9,69.9,70.0,70.1,70.2,69.3,88.0,56.0,40.7,1.72,137.61,0.11,2434.0440297000005,91459,414,34821803,348.22,1000.0,-0.14,0.91,-4.25,4.33,16.5,20.07,-15.05,1989,1% 2025,Active,2026-07-30T09:27:36.187564,10.0,67.28,73.02,78.23,63.55,73.75,79.5,20.4,-0.74,0.879,-16.29,-12.08,-28.75,29.63,-55.48
NURANI,Nurani Dyeing & Sweater Limited,Textile,Z,2.9,2.9,3.0,2.9,3.0,2.8,7.1,3.4,0.0,0.0,11.23,0.0,355.612587,221737,84,122625030,1226.25,1500.0,-3.33,1.24,7.41,-3.33,0.0,42.86,0.0,2017,2% 2018,Active,2026-07-30T09:27:36.187564,10.0,2.61,3.98,5.32,2.7,3.7,5.3,13.4,-1.12,0.547,-3.33,-58.57,-71.84,69.06,-89.74
OAL,Olympic Accessories Limited,Engineering,Z,6.7,6.7,6.8,6.9,6.9,6.6,7.8,3.8,0.0,-0.75,9.5,0.0,1135.8307794,375128,125,169526982,1695.27,2500.0,-1.47,1.63,-1.47,-4.29,17.54,33.33,-10.53,2015,1% 2021,Active,2026-07-30T09:27:36.187564,10.0,6.17,9.48,10.39,6.2,7.75,10.65,14.7,-1.1,0.629,-11.84,-48.46,-59.15,46.2,-82.97
OIMEX,Oimex Electrode Limited,Engineering,Z,16.5,16.5,16.5,16.7,16.7,16.3,28.0,10.8,21.15,0.78,3.52,1.28,1205.8988865,214791,252,73084781,730.85,1700.0,0.0,1.49,-1.2,2.48,22.22,39.83,-32.65,2017,3% 2024,Active,2026-07-30T09:27:36.187564,10.0,16.81,21.8,21.06,15.5,22.8,20.5,16.0,-1.02,0.805,-34.0,-23.26,-38.2,44.52,-64.88
OLYMPIC,Olympic Industries PLC.,Food and Allied,A,154.2,154.2,154.6,154.6,156.0,153.0,176.9,128.0,15.37,10.06,62.35,1.95,30830.576221199997,113662,614,199938886,1999.39,2000.0,-0.26,1.0,-4.22,-0.52,8.52,7.21,-4.45,1989,30% 2025,Active,2026-07-30T09:27:36.187564,10.0,150.02,150.89,149.27,147.95,150.0,149.7,65.2,0.29,1.03,-4.64,6.2,-11.99,21.88,-47.7
ONEBANKPLC,One Bank PLC,Bank,Z,8.1,8.1,8.0,8.1,8.1,8.0,9.1,6.2,6.45,1.24,22.43,0.0,8633.157284699999,344821,101,1065821887,10658.22,18500.0,1.25,1.2,2.53,1.25,15.71,9.59,-1.23,2003,3.50% 2023,Active,2026-07-30T09:27:36.187564,10.0,7.47,8.28,9.72,7.45,8.2,9.5,26.9,-0.72,0.853,0.0,-14.74,-38.17,30.76,-67.66
ORIONINFU,Orion Infusion Ltd.,Pharmaceuticals and Chemicals,A,283.1,283.1,285.3,287.0,287.0,282.0,587.5,279.0,165.87,1.72,16.02,0.64,5763.848056,139690,1324,20359760,203.6,1000.0,-0.77,1.03,-8.38,-9.55,-13.03,-21.81,-15.62,1994,20% 2025,Active,2026-07-30T09:27:36.187564,10.0,381.26,397.63,340.0,361.65,365.1,343.5,24.0,-0.32,0.824,-17.1,-18.72,331.91,43.74,-75.22
ORIONPHARM,Orion Pharma Ltd.,Pharmaceuticals and Chemicals,Z,28.6,28.6,28.8,28.8,29.4,28.5,42.9,22.9,0.0,-1.77,86.09,0.0,6692.4,202171,364,234000000,2340.0,5000.0,-0.69,1.53,-4.35,0.0,11.28,7.46,-8.57,2013,10% 2024,Active,2026-07-30T09:27:36.187564,10.0,29.84,47.27,65.97,28.9,35.7,76.5,11.5,-1.26,0.374,-8.92,-64.07,-54.17,36.6,-83.56
ORYZAAGRO,Oryza Agro Industries Ltd.,SME Sector,Y,9.8,9.7,9.7,9.8,9.8,9.6,12.6,7.2,0.0,0.72,19.62,0.82,677.0624,90186,39,69088000,690.88,1000.0,0.0,0.58,-7.62,-11.01,-3.96,6.59,-2.02,2021,1% 2025,Active,2026-07-30T09:27:36.187564,10.0,9.32,16.7,16.48,9.4,13.8,14.0,18.5,-0.88,0.7,-3.96,-39.38,-19.17,55.89,-80.84
PADMALIFE,Padma Islami Life Insurance Limited,Life Insurance,Z,17.8,17.8,17.7,18.0,18.0,17.7,23.9,13.8,0.0,0.0,0.0,0.0,692.064,46125,98,38880000,388.8,1000.0,0.56,0.9,-4.3,-0.56,2.3,1.72,-16.51,2012,2% 2021,Active,2026-07-30T09:27:36.187564,10.0,18.03,23.44,33.16,17.5,20.1,34.0,17.7,-1.14,0.524,-19.46,-56.8,-48.85,36.85,-78.1
PADMAOIL,Padma Oil PLC.,Fuel and Power,A,200.7,201.2,201.8,201.5,202.1,200.4,208.2,163.8,3.52,57.3,274.86,8.75,19715.312925,18606,151,98232750,982.33,1000.0,-0.3,0.6,0.1,-0.4,14.58,17.53,4.78,1976,160% 2025,Active,2026-07-30T09:27:36.187564,10.0,185.33,191.59,200.0,182.55,190.2,206.55,43.5,0.05,0.972,1.11,-3.82,-4.73,16.19,-32.02
PARAMOUNT,Paramount Insurance PLC.,Insurance,A,63.0,63.0,63.9,64.0,64.5,62.5,71.8,36.2,29.18,2.19,28.16,2.32,2561.892858,324261,717,40664966,406.65,600.0,-1.41,1.32,-5.97,-2.02,18.64,16.18,56.23,2007,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,49.52,48.7,52.02,49.45,47.5,48.7,82.3,0.84,1.294,54.03,42.21,-33.54,45.98,-68.35
PDL,Pacific Denims Limited,Textile,Z,5.7,5.7,5.8,5.8,5.8,5.6,7.4,2.8,48.33,0.12,13.58,0.96,1046.2358151,227743,149,183550143,1835.5,2000.0,-1.72,1.43,5.56,-5.0,5.56,48.72,-10.77,2017,1% 2023,Operation Shutdown,2026-07-30T09:27:36.187564,10.0,5.25,8.15,9.71,5.5,7.0,9.9,13.1,-1.19,0.576,-16.18,-42.42,-63.23,56.04,-85.57
PENINSULA,The Peninsula Chittagong PLC,Travel and Leisure,B,24.9,24.9,24.9,25.0,25.1,24.5,26.0,10.6,415.0,0.06,27.9,0.47,2954.80332,450881,459,118666800,1186.67,3000.0,0.0,1.17,-1.19,5.96,22.06,19.14,126.36,2014,0.50% 2025,Active,2026-07-30T09:27:36.187564,10.0,18.4,17.7,23.14,20.0,17.0,24.5,51.1,0.21,1.016,126.36,-9.12,6.87,41.54,-77.6
PEOPLESINS,Peoples Insurance PLC.,Insurance,A,63.4,63.4,61.4,61.6,63.7,61.6,66.5,30.7,14.65,4.19,37.95,2.92,2929.08,1420209,1993,46200000,462.0,2000.0,3.26,1.17,2.92,-0.31,21.22,59.48,72.96,1990,10.50% 2025,Active,2026-07-30T09:27:36.187564,10.0,42.29,36.78,39.98,37.85,35.7,37.4,98.1,2.37,1.695,76.6,75.62,7.82,40.24,-64.73
PF1STMF,Phoenix Finance 1st Mutual Fund,Mutual Funds,A,14.3,14.3,13.4,13.6,14.6,13.5,13.5,4.6,0.0,-0.17,7.2,0.0,858.0,4942985,990,60000000,600.0,0.0,6.72,0.55,18.18,62.5,101.41,162.75,148.15,2010,3% 2023,Active,2026-07-30T09:27:36.187564,10.0,6.22,6.44,7.77,5.1,5.5,7.5,99.9,2.86,1.907,164.81,44.44,31.19,40.59,-61.48
PHARMAID,Pharma Aids Limited,Pharmaceuticals and Chemicals,A,611.5,611.5,611.0,607.3,618.0,607.3,680.0,452.7,29.88,20.45,138.58,0.56,1907.88,11678,416,3120000,31.2,50.0,0.08,1.03,-7.57,2.38,8.4,19.92,2.02,1987,30% 2025,Active,2026-07-30T09:27:36.187564,10.0,561.49,610.6,664.05,562.9,591.6,641.1,41.4,-0.43,0.954,0.08,-22.66,40.22,32.19,-51.92
PHENIXINS,Phoenix Insurance PLC.,Insurance,A,46.0,45.7,45.8,46.4,46.4,45.3,48.7,23.7,30.33,1.51,32.42,3.77,1855.712312,430198,475,40341572,403.42,1000.0,-0.22,1.23,-0.65,4.82,12.84,37.95,76.15,1994,10% 2024,Active,2026-07-30T09:27:36.187564,10.0,32.35,31.4,36.95,28.75,29.1,35.9,83.6,0.86,1.281,72.45,23.18,-25.33,38.93,-70.53
PHOENIXFIN,Phoenix Finance and Investments Ltd.,Financial Institutions,Z,4.1,4.1,4.2,4.4,4.4,4.0,5.5,1.8,0.0,-48.73,-82.01,0.0,680.0841995,267801,101,165874195,1658.74,3000.0,-2.38,1.85,13.89,10.81,10.81,23.53,16.67,2007,6% 2019,Active,2026-07-30T09:27:36.187564,10.0,3.39,5.44,11.62,3.5,4.0,7.3,33.5,-0.83,0.562,13.89,-74.85,-86.42,68.57,-94.44
PHPMF1,PHP First Mutual Fund,Mutual Funds,A,3.9,3.9,3.8,3.8,4.0,3.8,4.2,2.1,0.0,-2.5,7.52,0.0,1099.3837296,1863511,214,281893264,2818.93,0.0,2.63,1.48,8.33,21.88,25.81,65.22,11.76,2010,2% 2023,Active,2026-07-30T09:27:36.187564,10.0,2.98,3.54,4.34,3.0,3.3,4.5,45.3,-0.37,0.867,14.71,-25.0,-48.0,50.93,-71.05
PIONEERINS,Pioneer Insurance PLC,Insurance,A,69.0,69.0,69.0,69.5,70.2,68.6,74.9,40.1,15.1,4.57,46.97,5.29,7085.712879,333173,825,102691491,1026.91,2000.0,0.0,1.21,-3.09,-4.03,10.05,30.43,59.72,2001,25% 2025,Active,2026-07-30T09:27:36.187564,10.0,53.53,54.44,67.21,51.4,51.4,68.1,65.0,0.08,1.013,57.18,-3.77,-43.71,40.08,-75.04
PLFSL,Peoples Leasing and Fin. Services Ltd.,Financial Institutions,Z,2.0,2.0,2.0,2.0,2.1,1.9,4.2,0.36,0.0,-14.95,-149.5,0.0,570.881194,2936969,324,285440597,2854.41,5000.0,0.0,1.27,66.67,66.67,-9.09,222.58,-4.76,2005,-,Active,2026-07-30T09:27:36.187564,10.0,1.46,2.3,2.3,1.3,2.3,2.3,35.4,-0.29,0.87,-9.09,-39.39,-39.39,104.01,-92.55
POPULAR1MF,Popular Life First Mutual Fund,Mutual Funds,A,4.0,4.0,3.9,3.9,4.1,3.8,4.2,2.1,0.0,-2.38,7.63,0.0,1196.356108,1547717,193,299089027,2991.0,0.0,2.56,1.59,14.29,25.0,33.33,69.57,11.43,2010,2.5% 2023,Active,2026-07-30T09:27:36.187564,10.0,2.96,3.53,4.28,3.0,3.3,4.4,46.8,-0.25,0.909,11.11,-21.57,-44.44,53.94,-69.44
POPULARLIF,Popular Life Insurance Co. Ltd.,Life Insurance,A,59.2,59.2,60.3,60.5,60.5,59.0,67.1,36.5,23.83,2.53,89.6,3.92,3577.3587936000004,187413,490,60428358,604.28,5000.0,-1.82,1.33,-9.2,-4.67,7.44,32.53,25.1,2005,20% 2024,Active,2026-07-30T09:27:36.187564,10.0,50.39,55.17,63.35,49.2,52.2,64.4,40.4,-0.3,0.919,22.82,-20.86,-36.62,35.39,-62.13
POWERGRID,Power Grid Company of Bangladesh Ltd.,Fuel and Power,Z,40.9,40.7,40.8,41.0,41.0,40.1,42.8,25.6,0.0,-2.3,139.29,0.0,37374.7059319,110602,185,913806991,9138.07,150000.0,-0.25,1.06,-2.86,2.78,22.59,33.77,24.01,2006,10% 2023,Active,2026-07-30T09:27:36.187564,10.0,31.96,38.04,45.55,31.6,37.1,46.7,40.6,-0.41,0.876,25.62,-22.33,-16.94,34.61,-64.99
PRAGATIINS,Pragati Insurance PLC.,Insurance,A,79.0,79.0,78.7,79.0,81.1,78.6,88.9,50.0,14.82,5.31,57.36,3.82,6415.950161,307447,697,81214559,812.15,2000.0,0.38,1.31,-4.24,-6.73,3.67,1.29,55.23,1996,27% 2025,Active,2026-07-30T09:27:36.187564,10.0,70.42,58.28,60.61,71.4,55.42,56.82,92.0,1.65,1.39,52.22,25.23,-4.46,45.72,-52.18
PRAGATILIF,Pragati Life Insurance PLC.,Life Insurance,A,165.9,165.9,167.1,168.9,168.9,165.0,283.9,101.1,0.0,0.0,0.0,0.0,5939.189474400001,62392,578,35799816,357.99,1000.0,-0.72,1.55,-9.39,-11.66,-13.5,-24.87,59.9,2006,15% 2024,Active,2026-07-30T09:27:36.187564,10.0,190.23,146.18,125.95,186.9,133.95,111.04,80.8,0.86,1.494,59.52,28.6,81.86,61.42,-66.91
PREMIERBAN,The Premier Bank PLC.,Bank,Z,5.7,5.7,5.7,5.7,5.8,5.5,8.1,3.9,0.0,-8.05,13.59,0.0,7030.5574581,993259,214,1233431133,12334.31,15000.0,0.0,1.63,14.0,29.55,26.67,39.02,-20.83,2007,12.50% 2023,Active,2026-07-30T09:27:36.187564,10.0,5.13,8.84,10.35,5.0,9.0,12.09,14.4,-1.5,0.471,-22.97,-55.47,-50.44,48.04,-73.94
PREMIERCEM,Premier Cement Mills PLC,Cement,A,49.8,49.5,49.0,49.5,49.8,48.8,56.0,34.9,37.98,1.29,64.5,2.02,5251.41,214862,399,105450000,1054.5,5000.0,1.02,1.08,-4.81,2.06,24.37,34.62,3.59,2013,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,43.2,51.83,53.46,41.7,51.25,51.65,43.4,-0.35,0.964,4.65,-21.55,-32.28,33.2,-62.2
PREMIERLEA,Premier Leasing & Finance Limited,Financial Institutions,Z,2.7,2.7,2.9,2.9,2.9,2.7,4.4,0.3,0.0,-27.5,-74.36,0.0,359.019567,1367957,203,132970210,1329.7,3000.0,-6.9,1.31,22.73,17.39,28.57,408.77,-3.33,2005,5% 2017,Active,2026-07-30T09:27:36.187564,10.0,1.8,3.44,5.27,1.9,3.3,5.1,18.5,-0.88,0.529,-10.0,-60.29,-73.79,103.26,-97.73
PRIME1ICBA,Prime Bank 1st ICB AMCL Mutual Fund,Mutual Funds,A,6.5,6.5,6.4,6.5,6.6,6.4,6.9,3.8,0.0,-0.28,7.62,0.0,650.0,426422,94,100000000,1000.0,0.0,1.56,0.96,8.33,32.65,44.44,48.84,23.08,2010,3% 2023,Active,2026-07-30T09:27:36.187564,10.0,4.66,5.32,6.06,4.5,4.9,5.9,57.1,0.32,1.102,22.64,-15.58,-21.69,39.17,-59.41
PRIMEBANK,Prime Bank PLC.,Bank,A,30.4,30.4,30.5,30.6,30.7,30.2,36.1,25.8,3.89,7.84,40.0,8.71,37046.0507664,689403,246,1218620091,12186.2,25000.0,-0.33,1.03,-0.98,1.33,3.05,3.31,16.03,2000,25% 2025,Active,2026-07-30T09:27:36.187564,10.0,28.58,23.38,21.61,28.95,21.84,20.53,96.0,2.24,1.481,13.19,66.93,46.72,25.04,-23.24
PRIMEFIN,Prime Finance & Investment Ltd.,Financial Institutions,Z,3.6,3.6,3.8,3.7,3.8,3.5,6.4,0.73,0.0,-5.53,1.46,0.0,982.4993388,581445,176,272916483,2729.16,3000.0,-5.26,1.35,12.5,20.0,5.88,153.33,-13.64,2005,2% 2019,Active,2026-07-30T09:27:36.187564,10.0,2.79,5.19,8.46,2.95,4.5,8.0,16.3,-1.04,0.45,-20.0,-68.7,-73.33,94.69,-96.03
PRIMEINSUR,Prime Islami Insurance PLC,Insurance,A,50.6,50.6,49.7,50.8,51.0,49.0,51.8,26.5,25.1,1.98,22.76,3.34,2068.4013988,744137,1456,40877498,408.77,1000.0,1.81,1.02,1.61,7.89,42.94,42.82,35.05,2001,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,35.09,39.03,52.13,33.85,35.4,41.4,59.0,-0.07,1.222,39.01,-38.89,-18.26,36.78,-75.1
PRIMELIFE,Prime Islami Life Insurance Ltd.,Life Insurance,B,40.9,40.9,41.1,41.2,41.6,40.8,54.6,27.0,0.0,0.0,0.0,0.0,1248.277407,55151,105,30520230,305.2,500.0,-0.49,1.3,-5.98,-2.62,9.07,9.6,11.68,2007,1% 2023,Active,2026-07-30T09:27:36.187564,10.0,38.47,40.76,49.42,38.4,39.1,52.6,33.4,-0.65,0.778,4.34,-38.12,-35.18,40.92,-70.85
PRIMETEX,Prime Textile Spinning Mills Limited,Textile,Z,17.8,17.8,17.3,17.9,17.9,17.3,23.4,9.9,0.0,-8.05,64.83,0.0,679.96,56202,114,38200000,382.0,1500.0,2.89,0.7,5.95,-0.56,-4.81,38.4,30.08,1995,2% 2022,Operation Shutdown,2026-07-30T09:27:36.187564,10.0,15.49,16.91,22.09,14.4,14.9,20.1,41.2,-0.49,0.886,28.06,-39.04,-21.24,51.44,-76.0
PROGRESLIF,Progressive Life Insurance Co. Ltd.,Life Insurance,Z,40.1,40.4,40.4,40.4,41.1,39.9,65.4,35.2,0.0,0.0,0.0,0.0,667.3909566,8655,64,16643166,166.43,750.0,0.0,0.94,-5.83,-4.72,2.02,-13.68,-21.25,2006,2.50% 2020,Active,2026-07-30T09:27:36.187564,10.0,45.73,49.85,65.53,44.0,45.9,63.3,12.3,-1.11,0.633,-22.16,-47.74,-63.34,46.57,-73.61
PROVATIINS,Provati Insurance PLC.,Insurance,A,60.0,60.0,60.5,60.7,61.4,59.2,70.8,22.9,30.71,1.97,21.71,2.68,2418.73422,570424,895,40312237,403.12,1250.0,-0.83,1.22,-5.51,-8.26,71.43,80.06,69.47,2009,10% 2024,Active,2026-07-30T09:27:36.187564,10.0,36.34,39.63,60.18,32.75,34.3,58.9,75.4,-0.0,1.019,67.6,1.87,-67.48,41.45,-87.13
PTL,Paramount Textile PLC.,Textile,A,65.2,65.2,64.4,64.9,66.1,64.8,69.0,39.0,9.94,6.48,43.89,2.96,11678.420967200002,757584,671,179116886,1791.17,5000.0,1.24,1.04,-0.91,-2.25,3.66,29.58,31.7,2013,12% 2025,Active,2026-07-30T09:27:36.187564,10.0,55.18,56.25,62.84,54.1,54.1,66.64,47.1,0.19,0.978,32.52,-6.86,28.3,33.31,-61.38
PUBALIBANK,Pubali Bank PLC.,Bank,A,39.0,39.0,38.8,39.0,39.8,38.5,44.0,25.5,4.63,8.38,54.32,3.24,60907.151838,1307719,779,1561721842,15617.22,20000.0,0.52,1.17,4.0,5.69,17.1,9.9,65.87,1984,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,30.14,23.64,21.46,31.35,21.74,19.4,99.9,3.48,2.01,63.09,108.69,128.88,29.59,-21.64
PURABIGEN,Purabi Gen. Insurance Company Ltd.,Insurance,A,31.7,31.7,31.8,32.0,32.2,31.5,36.1,16.5,20.65,1.54,14.09,5.08,1896.0564402,496336,449,59812506,598.13,1000.0,-0.31,1.2,-6.21,0.32,11.62,44.55,73.77,1995,10% 2024,Active,2026-07-30T09:27:36.187564,10.0,23.05,22.85,26.23,20.9,22.0,25.73,82.1,0.82,1.232,72.28,17.87,-23.71,39.18,-70.1
QUASEMIND,Quasem Industries Ltd.,Engineering,A,46.0,46.0,46.0,46.0,46.2,45.3,50.4,35.3,44.23,1.04,29.06,0.0,3679.96297,566500,603,79999195,799.99,2000.0,0.0,1.44,0.44,0.22,15.87,21.69,18.86,1989,1.50% 2024,Active,2026-07-30T09:27:36.187564,10.0,41.58,38.08,45.06,41.4,39.05,43.1,59.0,0.09,1.067,18.25,-21.23,-17.56,37.46,-68.99
QUEENSOUTH,Queen South Textile Mills Limited,Textile,B,17.7,17.7,17.8,17.8,18.1,17.5,19.0,8.5,89.0,0.2,15.82,0.42,2701.0454702999996,4417736,1727,152601439,1526.01,2000.0,-0.56,1.19,12.03,14.19,52.59,63.3,37.98,2018,0.50% 2025,Active,2026-07-30T09:27:36.187564,10.0,12.67,14.72,18.9,12.15,13.6,17.6,50.1,-0.2,1.006,32.09,-24.03,-37.19,38.11,-74.58
RAHIMAFOOD,Rahima Food Corporation Limited,Food and Allied,Z,86.8,86.8,87.6,88.0,88.4,86.0,174.0,79.8,156.43,0.56,9.43,0.23,1736.01736,38966,300,20000200,200.0,500.0,-0.91,1.24,-8.63,-10.14,-15.48,-34.38,-35.78,0,2% 2025,Operation Shutdown,2026-07-30T09:27:36.187564,10.0,124.41,135.45,192.66,129.3,125.05,200.0,12.3,-1.25,0.434,-40.06,-63.53,-72.46,56.04,-82.71
RAHIMTEXT,Rahim Textile Mills PLC.,Textile,A,211.9,210.6,210.8,214.3,214.3,208.0,271.9,135.2,163.41,1.29,25.83,0.89,2004.5068277,17247,257,9459683,94.6,500.0,-0.09,1.03,-5.69,-6.57,4.83,-15.58,38.32,1988,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,197.11,150.54,178.66,197.65,139.8,160.5,66.3,0.58,1.32,25.66,50.64,-31.09,47.31,-72.87
RAKCERAMIC,RAK Ceramics (Bangladesh) Limited,Ceramics Sector,A,31.1,31.1,31.1,31.1,31.5,31.0,32.8,19.2,0.0,-0.93,15.3,4.57,13309.8266011,379456,444,427968701,4279.69,6000.0,0.0,1.33,0.0,5.42,37.0,33.48,41.36,2010,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,24.32,27.18,34.56,23.45,23.9,36.6,45.6,-0.33,0.85,41.36,-27.51,-26.13,32.16,-70.59
RANFOUNDRY,Rangpur Foundry Ltd.,Engineering,A,162.5,161.9,163.1,162.1,162.9,161.2,190.0,135.0,42.25,3.86,35.09,1.69,1625.0,21957,174,10000000,100.0,200.0,-0.74,0.59,-5.38,-1.4,6.09,5.98,7.8,1999,23% 2025,Active,2026-07-30T09:27:36.187564,10.0,157.42,152.05,159.46,155.4,152.9,158.1,62.8,0.16,1.028,5.96,-1.76,21.82,25.73,-44.54
RDFOOD,Rangpur Dairy & Food Products Ltd.,Food and Allied,B,28.2,28.2,28.0,28.1,28.4,27.8,34.4,15.0,45.9,0.61,16.92,0.45,2142.4655592,626252,567,75973956,759.74,1000.0,0.71,1.54,-3.75,-1.4,42.42,42.13,19.15,2011,1% 2025,Active,2026-07-30T09:27:36.187564,10.0,23.03,28.27,35.76,21.5,26.15,36.2,34.3,-0.63,0.779,19.49,-45.66,-36.34,45.79,-74.76
RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC,Pharmaceuticals and Chemicals,A,3321.9,3315.5,3310.4,3333.0,3348.9,3315.0,,,19.14,172.93,187.58,5.05,15695.9775,845,160,4725000,47.25,250.0,0.15,0.32,-0.17,-1.59,-4.46,-4.6,-2.19,1987,1730% 2025,Active,2026-07-30T09:27:36.187564,10.0,3403.43,4079.99,4433.68,3387.05,4093.2,4760.7,4.7,-1.6,0.698,-0.88,-30.78,-26.43,9.4,-46.41
REGENTTEX,Regent Textile Mills Limited,Textile,Z,7.5,7.5,7.3,7.3,7.6,7.2,8.4,1.3,0.0,-1.62,26.52,0.0,964.5910275,1212344,421,128612137,1286.12,1500.0,2.74,1.62,29.31,15.38,92.31,114.71,97.3,2015,1% 2020,Closed,2026-07-30T09:27:36.187564,10.0,4.03,4.68,6.93,3.8,4.1,5.8,56.2,0.17,1.293,102.7,-23.47,-35.9,75.22,-91.76
RELIANCE1,Reliance One the first scheme of Reliance Insurance Mutual Fund,Mutual Funds,A,12.0,12.0,11.9,11.9,12.1,11.8,18.8,9.8,0.0,-0.31,10.47,0.0,726.0,520864,241,60500000,605.0,0.0,0.84,0.84,0.0,11.11,1.69,-20.67,-30.41,2011,4% 2024,Active,2026-07-30T09:27:36.187564,10.0,13.59,16.17,14.12,13.6,16.1,12.6,46.6,-0.55,0.952,-30.23,21.21,-10.45,42.08,-59.26
RELIANCINS,Reliance Insurance PLC.,Insurance,A,113.4,113.4,114.8,116.2,117.0,113.0,128.2,56.6,13.63,8.42,78.95,4.6,11925.267265800001,111979,365,105161087,1051.61,2000.0,-1.22,1.11,-2.83,-5.66,22.07,61.24,100.35,1995,30% 2025,Active,2026-07-30T09:27:36.187564,10.0,76.95,66.65,67.87,68.6,64.75,64.2,97.8,3.11,1.766,89.0,48.62,8.0,39.48,-56.03
